FspId,FspX,FspY,SegId,FilledElev,DsDist,StrOrd
345,-60088.2057939356,1799097.9445651,3,335.765777587891,27247.282809988617,3
346,-60088.2057939356,1799107.9445651,3,335.765777587891,27237.282809988617,3
347,-60088.2057939356,1799117.9445651,3,335.765777587891,27227.282809988617,3
348,-60088.2057939356,1799127.9445651,3,335.765777587891,27217.282809988617,3
349,-60088.2057939356,1799137.9445651,4,335.765777587891,27207.282809988614,3
350,-60078.2057939356,1799147.9445651,4,335.765777587891,27193.14067436488,3
351,-60068.2057939356,1799157.9445651,4,335.765777587891,27178.99853874115,3
352,-60058.2057939356,1799167.9445651,4,335.765777587891,27164.856403117417,3
353,-60048.2057939356,1799167.9445651,4,335.584777832031,27154.856403117417,3
354,-60038.2057939356,1799167.9445651,4,335.429046630859,27144.856403117417,3
355,-60028.2057939356,1799157.9445651,4,335.263031005859,27130.714267493688,3
356,-60018.2057939356,1799157.9445651,4,335.195281982422,27120.714267493688,3
357,-60008.2057939356,1799147.9445651,4,335.195281982422,27106.572131869958,3
358,-60008.2057939356,1799137.9445651,4,335.195281982422,27096.572131869958,3
359,-59998.2057939356,1799127.9445651,4,335.195281982422,27082.429996246225,3
360,-59998.2057939356,1799117.9445651,4,335.195281982422,27072.429996246225,3
361,-59998.2057939356,1799107.9445651,4,335.081970214844,27062.429996246225,3
362,-59998.2057939356,1799097.9445651,4,335.081970214844,27052.429996246225,3
363,-59988.2057939356,1799087.9445651,4,334.994506835938,27038.287860622495,3
364,-59988.2057939356,1799077.9445651,4,334.889465332031,27028.287860622495,3
365,-59988.2057939356,1799067.9445651,4,334.889465332031,27018.287860622495,3
366,-59988.2057939356,1799057.9445651,4,334.889465332031,27008.287860622495,3
367,-59988.2057939356,1799047.9445651,4,334.889465332031,26998.287860622495,3
368,-59988.2057939356,1799037.9445651,4,334.889465332031,26988.287860622495,3
369,-59978.2057939356,1799027.9445651,4,334.889465332031,26974.145724998765,3
370,-59968.2057939356,1799017.9445651,4,334.889465332031,26960.003589375032,3
371,-59958.2057939356,1799007.9445651,4,334.889465332031,26945.861453751302,3
372,-59948.2057939356,1798997.9445651,4,334.889465332031,26931.719318127572,3
373,-59938.2057939356,1798987.9445651,4,334.889465332031,26917.57718250384,3
374,-59928.2057939356,1798977.9445651,4,334.889465332031,26903.43504688011,3
375,-59918.2057939356,1798967.9445651,4,334.889465332031,26889.292911256376,3
376,-59908.2057939356,1798967.9445651,4,334.889465332031,26879.292911256376,3
377,-59898.2057939356,1798967.9445651,4,334.889465332031,26869.292911256376,3
378,-59888.2057939356,1798967.9445651,4,334.889465332031,26859.292911256376,3
379,-59878.2057939356,1798957.9445651,4,334.889465332031,26845.150775632646,3
380,-59868.2057939356,1798947.9445651,4,334.889465332031,26831.008640008917,3
381,-59858.2057939356,1798937.9445651,4,334.889465332031,26816.866504385183,3
382,-59858.2057939356,1798927.9445651,4,334.889465332031,26806.866504385183,3
383,-59858.2057939356,1798917.9445651,4,334.889465332031,26796.866504385183,3
384,-59858.2057939356,1798907.9445651,4,334.889465332031,26786.866504385183,3
385,-59858.2057939356,1798897.9445651,4,334.889465332031,26776.866504385183,3
386,-59858.2057939356,1798887.9445651,4,334.889465332031,26766.866504385183,3
387,-59868.2057939356,1798877.9445651,4,334.889465332031,26752.724368761454,3
388,-59868.2057939356,1798867.9445651,4,334.889465332031,26742.724368761454,3
389,-59868.2057939356,1798857.9445651,4,334.889465332031,26732.724368761454,3
390,-59868.2057939356,1798847.9445651,4,334.889465332031,26722.724368761454,3
391,-59858.2057939356,1798837.9445651,4,334.889465332031,26708.58223313772,3
392,-59858.2057939356,1798827.9445651,4,334.889465332031,26698.58223313772,3
393,-59858.2057939356,1798817.9445651,4,334.889465332031,26688.58223313772,3
394,-59858.2057939356,1798807.9445651,4,334.889465332031,26678.58223313772,3
395,-59848.2057939356,1798797.9445651,4,334.246337890625,26664.44009751399,3
396,-59848.2057939356,1798787.9445651,4,334.011871337891,26654.44009751399,3
397,-59848.2057939356,1798777.9445651,4,333.950622558594,26644.44009751399,3
398,-59838.2057939356,1798777.9445651,4,333.950622558594,26634.44009751399,3
399,-59828.2057939356,1798767.9445651,4,333.950622558594,26620.29796189026,3
